Name,IconSWF,IconExportName,Target,Disabled,LockedForChronos,DynamicRarityStartSeason,MetaType,RequiresCard,Type,Skill,Value,Value2,Value3,Rarity,TID,PowerNumberTID,PowerNumber2TID,PowerNumber3TID,PowerNumber4TID,PowerIcon1ExportName,PowerIcon2ExportName,SortOrder,DontUpgradeStat,HideDamageStat
String,String,String,String,boolean,boolean,int,int,String,String,String,int,int,int,String,String,String,String,String,String,String,String,int,boolean,boolean
ShotgunGirl_unlock,sc/ui.sc,,ShotgunGirl,,,,0,,unlock,,,,,common,,,,,,,,101,,
ShotgunGirl_hp,sc/ui.sc,health_icon,ShotgunGirl,,,,1,,hp,,,,,common,TID_ARMOR,TID_ARMOR_STAT,,,,genicon_health,,,,
ShotgunGirl_abi,sc/ui.sc,attack_icon,ShotgunGirl,,,,2,,skill,ShotgunGirlWeapon,,,,common,TID_LONG_RANGE_SHOTGUN,TID_STAT_DAMAGE_PER_SHELL,,,,genicon_damage,,,,
ShotgunGirl_ulti,sc/ui.sc,ulti_icon,ShotgunGirl,,,,3,,skill,ShotgunGirlUlti,,,,common,TID_MEGA_BLASH_ULTI,TID_STAT_DAMAGE_PER_SHELL,,,,genicon_damage,,,,
Gunslinger_unlock,sc/ui.sc,,Gunslinger,,,,0,,unlock,,,,,common,,,,,,,,103,,
Gunslinger_hp,sc/ui.sc,health_icon,Gunslinger,,,,1,,hp,,,,,common,TID_ARMOR,TID_ARMOR_STAT,,,,genicon_health,,,,
Gunslinger_abi,sc/ui.sc,attack_icon,Gunslinger,,,,2,,skill,GunslingerWeapon,,,,common,TID_RAPID_FIRE,TID_STAT_DAMAGE_PER_SHOT,,,,genicon_damage,,,,
Gunslinger_ulti,sc/ui.sc,ulti_icon,Gunslinger,,,,3,,skill,GunslingerUlti,,,,common,TID_RAPID_FIRE_ULTI,TID_STAT_DAMAGE_PER_SHOT,,,,genicon_damage,,,,
BullDude_unlock,sc/ui.sc,,BullDude,,,,0,,unlock,,,,,common,,,,,,,,104,,
BullDude_hp,sc/ui.sc,health_icon,BullDude,,,,1,,hp,,,,,common,TID_ARMOR,TID_ARMOR_STAT,,,,genicon_health,,,,
BullDude_abi,sc/ui.sc,attack_icon,BullDude,,,,2,,skill,BullDudeWeapon,,,,common,TID_SHOTGUN_BLAST,TID_STAT_DAMAGE_PER_SHELL,,,,genicon_damage,,,,
BullDude_ulti,sc/ui.sc,ulti_icon,BullDude,,,,3,,skill,BullDudeUlti,,,,common,TID_CHARGE,TID_STAT_DAMAGE,,,,genicon_damage,,,,
RocketGirl_unlock,sc/ui.sc,,RocketGirl,,,,0,,unlock,,,,,common,,,,,,,,106,,
RocketGirl_hp,sc/ui.sc,health_icon,RocketGirl,,,,1,,hp,,,,,common,TID_ARMOR,TID_ARMOR_STAT,,,,genicon_health,,,,
